,Country / Territory,"ISO-3166-3
(3 Letter Country Code)",Territory
0,Algeria,DZA,africa
1,Angola,AGO,africa
2,Ascension,SHN,africa
3,Benin,BEN,africa
4,Botswana,BWA,africa
5,Burkina Faso,BFA,africa
6,Burundi,BDI,africa
7,Cameroon,CMR,africa
8,Cape Verde Islands,CPV,africa
9,Central African Republic,CAF,africa
10,Chad Republic,TCD,africa
11,Comoros,COM,africa
12,Congo,COG,africa
13,Dem. Republic of the Congo,COD,africa
14,Djibouti,DJI,africa
15,Egypt,EGY,africa
16,Equatorial Guinea,GNQ,africa
17,Eritrea,ERI,africa
18,eSwatini,SWZ,africa
19,Ethiopia,ETH,africa
20,Gabon Republic,GAB,africa
21,Gambia,GMB,africa
22,Ghana,GHA,africa
23,Guinea,GIN,africa
24,Guinea-Bissau,GNB,africa
25,Ivory Coast,CIV,africa
26,Kenya,KEN,africa
27,Lesotho,LSO,africa
28,Liberia,LBR,africa
29,Libya,LBY,africa
30,Madagascar,MDG,africa
31,Malawi,MWI,africa
32,Mali Republic,MLI,africa
33,Mauritania,MRT,africa
34,Mauritius,MUS,africa
35,Mayotte Island,MYT,africa
36,Morocco,MAR,africa
37,Mozambique,MOZ,africa
38,Namibia,NAM,africa
39,Niger Republic,NER,africa
40,Nigeria,NGA,africa
41,Principe,STP,africa
42,Reunion Island,REU,africa
43,Rwanda,RWA,africa
44,Sao Tome,STP,africa
45,Senegal Republic,SEN,africa
46,Seychelles,SYC,africa
47,Sierra Leone,SLE,africa
48,Somalia Republic,SOM,africa
49,South Africa,ZAF,africa
50,South Sudan,SSD,africa
51,St. Helena,SHN,africa
52,Sudan,SDN,africa
53,Swaziland,SWZ,africa
54,Tanzania,TZA,africa
55,Togo,TGO,africa
56,Tunisia,TUN,africa
57,Uganda,UGA,africa
58,Zaire,COD,africa
59,Zambia,ZMB,africa
60,Zanzibar,TZA,africa
61,Zimbabwe,ZWE,africa
0,Afghanistan,AFG,asia
1,Armenia,ARM,asia
